VDC ID;VDC;gen-19;feb-19;mar-19;apr-19;mag-19;giu-19;lug-19;ago-19;set-19;ott-19;nov-19;dic-19;;;;;;;;;;;;;;;;;;;;;
2.03.01;Provvigioni; 6.250,00 € ; 12.500,00 € ; 12.500,00 € ; 12.500,00 € ; 12.500,00 € ; 12.500,00 € ; 16.666,67 € ; 16.666,67 € ; 25.000,00 € ; 29.166,67 € ; 29.166,67 € ; 29.166,67 € ;;;;;;;;;;;;;;;;;;;;;
2.03.02;Salari; 33.333,33 € ; 54.166,67 € ; 54.166,67 € ; 54.166,67 € ; 54.166,67 € ; 54.166,67 € ; 70.833,33 € ; 70.833,33 € ; 70.833,33 € ; 116.666,67 € ; 125.000,00 € ; 125.000,00 € ;;;;;;;;;;;;;;;;;;;;;
2.03.03;Oneri Finanzari; 4.166,67 € ; 10.000,00 € ; 10.000,00 € ; 10.000,00 € ; 10.000,00 € ; 10.000,00 € ; 15.000,00 € ; 15.000,00 € ; 15.000,00 € ; 29.166,67 € ; 29.166,67 € ; 29.166,67 € ;;;;;;;;;;;;;;;;;;;;;
2.03.04;Formazioni; 1.666,67 € ; 4.166,67 € ; 2.916,67 € ; 1.666,67 € ; 3.333,33 € ; 4.166,67 € ; 2.916,67 € ; 4.166,67 € ; 4.166,67 € ; 8.333,33 € ; 12.500,00 € ; 12.500,00 € ;;;;;;;;;;;;;;;;;;;;;
2.03.05;Altri costi di mano dopera; 291,67 € ; 400,00 € ; 446,67 € ; 479,17 € ; 413,33 € ; 332,50 € ; 419,17 € ; 467,50 € ; 255,83 € ; 666,67 € ; 1.666,67 € ; 2.500,00 € ;;;;;;;;;;;;;;;;;;;;;
2.04.01;Fitti; 2.916,67 € ; 2.916,67 € ; 2.916,67 € ; 2.916,67 € ; 2.916,67 € ; 2.916,67 € ; 3.750,00 € ; 3.750,00 € ; 3.750,00 € ; 3.750,00 € ; 4.166,67 € ; 4.166,67 € ;;;;;;;;;;;;;;;;;;;;;
2.04.02;Contabilità; 416,67 € ; 416,67 € ; 416,67 € ; 416,67 € ; 416,67 € ; 416,67 € ; 625,00 € ; 625,00 € ; 625,00 € ; 625,00 € ; 625,00 € ; 625,00 € ;;;;;;;;;;;;;;;;;;;;;
2.04.03;Elettricità; 666,67 € ; 666,67 € ; 666,67 € ; 666,67 € ; 666,67 € ; 666,67 € ; 1.000,00 € ; 1.000,00 € ; 1.000,00 € ; 1.000,00 € ; 1.000,00 € ; 1.000,00 € ;;;;;;;;;;;;;;;;;;;;;
2.04.04;Utenze Telefoniche; 208,33 € ; 208,33 € ; 208,33 € ; 208,33 € ; 208,33 € ; 208,33 € ; 208,33 € ; 208,33 € ; 208,33 € ; 208,33 € ; 208,33 € ; 208,33 € ;;;;;;;;;;;;;;;;;;;;;
2.04.05;Marketing; 2.083,33 € ; 2.083,33 € ; 2.083,33 € ; 2.083,33 € ; 2.083,33 € ; 2.083,33 € ; 2.916,67 € ; 2.916,67 € ; 2.916,67 € ; 8.333,33 € ; 8.333,33 € ; 8.333,33 € ;;;;;;;;;;;;;;;;;;;;;
2.04.06;Pulizia; 291,67 € ; 291,67 € ; 291,67 € ; 291,67 € ; 291,67 € ; 291,67 € ; 416,67 € ; 416,67 € ; 416,67 € ; 416,67 € ; 416,67 € ; 416,67 € ;;;;;;;;;;;;;;;;;;;;;
2.04.07;Altri costi Amministrativi; 820,00 € ; 602,50 € ; 846,67 € ; 798,33 € ; 789,17 € ; 1.027,50 € ; 1.005,83 € ; 901,67 € ; 623,33 € ; 635,83 € ; 1.139,17 € ; 1.106,67 € ;;;;;;;;;;;;;;;;;;;;;
2.05.01;Spese generali; 5.545,00 € ; 4.320,00 € ; 6.521,67 € ; 3.680,00 € ; 2.866,67 € ; 3.824,17 € ; 5.235,83 € ; 6.395,83 € ; 3.523,33 € ; 7.916,67 € ; 7.916,67 € ; 7.916,67 € ;;;;;;;;;;;;;;;;;;;;;
