Precodice;ID;ID Prodotto;Codice Prodotto;Prodotto;Categoria Merceologica;Fornitore;Costo Unitario;Periodo;;
PC;101;PC101;PCCaf101;Caffè;Cibo;Caffe Brasiliano SARL;35,18;31/12/2019;;
PS;102;PS102;PSOrt102;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;3,56;31/12/2019;;
PS;103;PS103;PSSpe103;Spezie;Cibo;San Patrizio Food&Beverage LTD;3,22;31/12/2019;;
PS;104;PS104;PSSpe104;Spezie;Cibo;San Patrizio Food&Beverage LTD;1,78;31/12/2019;;
PS;105;PS105;PSSpe105;Spezie;Cibo;San Patrizio Food&Beverage LTD;6,96;31/12/2019;;
PC;106;PC106;PCCaf106;Caffè;Cibo;Caffe Brasiliano SARL;19,46;31/12/2019;;
PC;107;PC107;PCCaf107;Caffè;Cibo;Caffe Brasiliano SARL;19,53;31/12/2019;;
PC;108;PC108;PCCaf108;Caffè;Cibo;Caffe Brasiliano SARL;19,65;31/12/2019;;
PC;109;PC109;PCCaf109;Caffè;Cibo;Caffe Brasiliano SARL;19,99;31/12/2019;;
PS;110;PS110;PSOli110;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;1,56;31/12/2019;;
PC;111;PC111;PCLat111;Latte;Cibo;Caffe Brasiliano SARL;2,60;31/12/2019;;
PC;112;PC112;PCLat112;Latte;Cibo;Caffe Brasiliano SARL;3,03;31/12/2019;;
PC;113;PC113;PCCaf113;Caffè in capsule;Cibo;Caffe Brasiliano SARL;7,73;31/12/2019;;
PC;114;PC114;PCCaf114;Caffè in capsule;Cibo;Caffe Brasiliano SARL;4,05;31/12/2019;;
PS;115;PS115;PSOli115;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;1,56;31/12/2019;;
PS;116;PS116;PSOli116;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;1,56;31/12/2019;;
PS;117;PS117;PSOli117;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;7,93;31/12/2019;;
PS;118;PS118;PSOrt118;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;3,37;31/12/2019;;
PS;119;PS119;PSOrt119;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;3,85;31/12/2019;;
PS;120;PS120;PSOrt120;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;4,40;31/12/2019;;
PS;121;PS121;PSOrt121;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;5,02;31/12/2019;;
PM;122;PM122;PMFar122;Farina;Cibo;Mangia Sano SNC;1,01;31/12/2019;;
PM;123;PM123;PMFar123;Farina;Cibo;Mangia Sano SNC;1,01;31/12/2019;;
PM;124;PM124;PMFar124;Farina;Cibo;Mangia Sano SNC;0,63;31/12/2019;;
PM;125;PM125;PMFar125;Farina;Cibo;Mangia Sano SNC;6,49;31/12/2019;;
PM;126;PM126;PMFar126;Farina;Cibo;Mangia Sano SNC;0,61;31/12/2019;;
PM;127;PM127;PMFar127;Farina;Cibo;Mangia Sano SNC;0,64;31/12/2019;;
PC;128;PC128;PCLat128;Latte;Cibo;Caffe Brasiliano SARL;3,03;31/12/2019;;
PM;129;PM129;PMLie129;Lievito;Cibo;Mangia Sano SNC;1,69;31/12/2019;;
PM;130;PM130;PMLie130;Lievito;Cibo;Mangia Sano SNC;2,02;31/12/2019;;
PM;131;PM131;PMLie131;Lievito;Cibo;Mangia Sano SNC;1,69;31/12/2019;;
PM;132;PM132;PMLie132;Lievito;Cibo;Mangia Sano SNC;1,04;31/12/2019;;
PM;133;PM133;PMLie133;Lievito;Cibo;Mangia Sano SNC;0,43;31/12/2019;;
PM;134;PM134;PMLie134;Lievito;Cibo;Mangia Sano SNC;0,43;31/12/2019;;
PM;135;PM135;PMLie135;Lievito;Cibo;Mangia Sano SNC;0,81;31/12/2019;;
PM;136;PM136;PMLie136;Lievito;Cibo;Mangia Sano SNC;0,81;31/12/2019;;
PM;137;PM137;PMLie137;Lievito;Cibo;Mangia Sano SNC;1,41;31/12/2019;;
PM;138;PM138;PMLie138;Lievito;Cibo;Mangia Sano SNC;1,65;31/12/2019;;
PM;139;PM139;PMLie139;Lievito;Cibo;Mangia Sano SNC;1,85;31/12/2019;;
PS;140;PS140;PSOli140;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;2,02;31/12/2019;;
PM;141;PM141;PMLie141;Lievito;Cibo;Mangia Sano SNC;1,38;31/12/2019;;
PM;142;PM142;PMLie142;Lievito;Cibo;Mangia Sano SNC;1,38;31/12/2019;;
PM;143;PM143;PMLie143;Lievito;Cibo;Mangia Sano SNC;1,86;31/12/2019;;
PM;144;PM144;PMLie144;Lievito;Cibo;Mangia Sano SNC;1,86;31/12/2019;;
PM;145;PM145;PMLie145;Lievito;Cibo;Mangia Sano SNC;1,86;31/12/2019;;
PM;146;PM146;PMLie146;Lievito;Cibo;Mangia Sano SNC;0,29;31/12/2019;;
PM;147;PM147;PMLie147;Lievito;Cibo;Mangia Sano SNC;0,29;31/12/2019;;
PM;148;PM148;PMLie148;Lievito;Cibo;Mangia Sano SNC;0,30;31/12/2019;;
PM;149;PM149;PMLie149;Lievito;Cibo;Mangia Sano SNC;0,30;31/12/2019;;
PM;150;PM150;PMLie150;Lievito;Cibo;Mangia Sano SNC;0,30;31/12/2019;;
PS;151;PS151;PSOli151;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;2,31;31/12/2019;;
PS;152;PS152;PSOli152;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;1,98;31/12/2019;;
PC;153;PC153;PCCaf153;Caffè;Cibo;Caffe Brasiliano SARL;34,39;31/12/2019;;
PC;154;PC154;PCCaf154;Caffè;Cibo;Caffe Brasiliano SARL;12,85;31/12/2019;;
PM;155;PM155;PMLie155;Lievito;Cibo;Mangia Sano SNC;0,88;31/12/2019;;
PM;156;PM156;PMLie156;Lievito;Cibo;Mangia Sano SNC;0,87;31/12/2019;;
PM;157;PM157;PMLie157;Lievito;Cibo;Mangia Sano SNC;0,87;31/12/2019;;
PM;158;PM158;PMLie158;Lievito;Cibo;Mangia Sano SNC;0,43;31/12/2019;;
PM;159;PM159;PMLie159;Lievito;Cibo;Mangia Sano SNC;0,43;31/12/2019;;
PM;160;PM160;PMLie160;Lievito;Cibo;Mangia Sano SNC;0,43;31/12/2019;;
PB;161;PB161;PBBib161;Bibite Energetiche;Bibite;Bibite Fresche SPA;65,39;31/12/2019;;
PS;162;PS162;PSOli162;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;5,53;31/12/2019;;
PS;163;PS163;PSOli163;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;6,71;31/12/2019;;
PS;164;PS164;PSOli164;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;6,73;31/12/2019;;
PS;165;PS165;PSOli165;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;6,71;31/12/2019;;
PC;166;PC166;PCZuc166;Zucchero;Cibo;Caffe Brasiliano SARL;1,87;31/12/2019;;
PC;167;PC167;PCZuc167;Zucchero;Cibo;Caffe Brasiliano SARL;1,87;31/12/2019;;
PB;168;PB168;PBBib168;Bibite Energetiche;Bibite;Bibite Fresche SPA;65,38;31/12/2019;;
